country;continent;year;Business_environment;Ease_starting_business;Human_capital_and_research;Infrastructure;Ease_getting_credit;University_industry_collaboration;New_business_density;Total_computer_software_spending;Creative_goods_and_services
Nicaragua;Americas;2019;60.5;79.8;11.7;33.6;50.0;27.1;n/a;5.3;2.1
Niger;Africa;2018;66.4;93.7;21.5;26.5;30.0;n/a;n/a;2.5;23.1
Niger (the);Africa;2020;65.4;91.5;9.5;19.6;70.0;0.0;0.2;2.7;1.2
Niger (the);Africa;2019;66.6;93.7;9.9;25.5;30.0;n/a;0.0;2.8;1.3
Nigeria;Africa;2020;58.4;86.2;11.2;21.3;85.0;26.4;2.8;9.5;9.7
Nigeria;Africa;2019;56.7;83.0;11.3;26.6;85.0;23.7;2.8;9.9;10.8
Nigeria;Africa;2018;55.7;80.8;12.9;26.5;90.0;25.3;2.8;10.3;10.6
North Macedonia;Europa;2020;80.7;88.6;29.1;46.4;80.0;30.2;12.6;12.1;16.7
North Macedonia;Europa;2019;82.4;92.1;26.4;44.9;85.0;29.2;14.2;12.5;21.0
Norway;Europa;2020;89.9;94.3;55.1;64.6;55.0;61.7;30.0;50.7;28.7
Norway;Europa;2019;89.9;94.3;53.9;69.9;55.0;61.7;29.8;51.8;28.5
Norway;Europa;2018;90.1;94.3;53.3;67.5;55.0;63.3;29.8;53.7;22.0
Oman;Asia;2020;68.7;93.5;38.1;44.5;35.0;50.7;4.8;4.6;6.4
Oman;Asia;2019;67.6;92.9;43.3;51.3;35.0;51.0;7.7;4.0;6.2
Oman;Asia;2018;67.6;92.8;40.3;48.3;35.0;43.4;7.7;4.2;8.0
Pakistan;Asia;2020;74.1;89.3;12.2;23.3;45.0;47.7;0.2;23.2;0.8
Pakistan;Asia;2019;70.9;81.9;12.5;27.3;45.0;44.5;0.2;23.4;2.0
Pakistan;Asia;2018;62.2;78.6;12.2;26.9;45.0;41.5;0.2;21.3;1.4
Panama;Americas;2020;65.8;92.0;18.3;46.8;80.0;36.6;16.8;15.2;27.2
Panama;Americas;2019;65.8;92.1;20.2;57.2;80.0;35.5;3.1;16.0;32.2
Panama;Americas;2018;65.8;92.0;19.9;52.2;75.0;38.5;3.1;17.8;38.9
Paraguay;Americas;2020;59.0;76.0;18.7;34.8;40.0;23.3;0.7;3.9;5.8
Paraguay;Americas;2019;59.4;77.5;22.0;38.4;40.0;26.4;0.5;3.7;9.1
Paraguay;Americas;2018;59.4;77.5;22.8;38.7;40.0;26.2;0.5;3.9;13.3
Peru;Americas;2020;64.3;82.1;32.3;39.7;75.0;30.9;13.0;17.7;10.1
Peru;Americas;2019;64.1;82.4;30.4;46.7;75.0;31.9;13.3;18.5;17.5
Peru;Americas;2018;64.5;83.4;20.0;43.2;80.0;32.0;13.3;20.4;19.6
Philippines;Asia;2020;63.2;71.3;23.9;41.1;40.0;57.5;0.9;22.6;29.3
Philippines;Asia;2019;63.6;72.0;24.6;48.5;5.0;57.5;1.2;22.7;26.6
